Bedroom,Bathroom,Furnishing,Area,Building Age,Parking,Distance to Metro,Projected 10Y Rent,Price,Address
2,1,Unfurnished,500,26,1,0.074325684,1640857,3600000,Begum Pur
3,2,Furnished,500,24,1,0.074325684,2007820,4300000,Begum Pur
3,2,Semi-Furnished,900,19,1,0.074325684,1132540,4000000,Begum Pur
2,2,Semi-Furnished,500,28,1,0.074325684,590886,1650000,Begum Pur
1,1,Furnished,500,19,1,0.546503629,588321,2000000,Begum Pur
2,2,Semi-Furnished,500,21,1,0.074325684,1473431,3000000,Begum Pur
2,1,Semi-Furnished,500,10,1,0.074325684,599098,1400000,Begum Pur
2,1,Semi-Furnished,500,27,1,0.074325684,701691,2000000,Begum Pur
2,2,Unfurnished,500,12,1,0.564215284,560741,2000000,Begum Pur
1,1,Furnished,500,30,1,0.782723797,691191,2000000,Begum Pur
3,4,Furnished,729,21,1,0.951964618,908282,2600000,Begum Pur
5,3,Furnished,4050,30,1,0.717726826,2325353,5100000,Begum Pur
5,4,Furnished,2400,21,1,0.475841743,2590117,6000000,Begum Pur
2,2,Furnished,500,19,1,0.398485266,1989997,4000000,Begum Pur
2,3,Furnished,500,13,1,0.398485266,2406215,6200000,Begum Pur
1,2,Furnished,666,5,1,0.398485266,1032999,3500000,Begum Pur
1,1,Semi-Furnished,500,11,1,0.340503602,948440,2100000,Chhattarpur
4,3,Unfurnished,2200,21,1,0.391309033,2552940,5500000,Chhattarpur
3,3,Unfurnished,1450,8,1,0.410363478,3086831,7500000,Chhattarpur
2,2,Semi-Furnished,662,3,1,0.422195534,1867420,4000000,Chhattarpur
3,2,Semi-Furnished,2249,7,2,0.411786841,2559623,6500000,Chhattarpur
1,1,Unfurnished,500,3,1,0.326760896,521841,1300000,Chhattarpur
3,2,Semi-Furnished,1124,1,1,0.391385918,2822418,7500000,Chhattarpur
1,1,Semi-Furnished,500,6,1,0.321710096,1216425,4500000,Chhattarpur
3,2,Semi-Furnished,950,13,1,0.433839926,2070689,7090000,Chhattarpur
3,3,Unfurnished,1250,5,1,0.553057993,1767357,6500000,Chhattarpur
3,3,Semi-Furnished,500,26,1,0.458925979,9706135,22500000,Chhattarpur
3,3,Semi-Furnished,1550,14,1,0.524998444,2078910,6000000,Chhattarpur
3,2,Semi-Furnished,500,25,1,0.403030178,2187257,5500000,Chhattarpur
2,2,Semi-Furnished,750,22,1,0.455915678,2011459,4000000,Chhattarpur
3,2,Unfurnished,1125,13,1,0.284090868,2025399,6150000,Chhattarpur
3,3,Semi-Furnished,1150,2,1,0.322782581,2974394,8000000,Chhattarpur
3,2,Semi-Furnished,1100,1,1,0.423174621,3470933,7500000,Chhattarpur
3,3,Unfurnished,1210,4,1,0.227533991,2575249,7950000,Chhattarpur
2,2,Semi-Furnished,900,1,1,0.279219861,993681,3500000,Chhattarpur
3,3,Semi-Furnished,1170,27,1,0.351481547,2209993,6500000,Chhattarpur
3,2,Semi-Furnished,1050,6,1,0.276927412,1377523,4500000,Chhattarpur
3,2,Unfurnished,1050,1,1,0.428306894,1678706,3300000,Chhattarpur
3,2,Semi-Furnished,990,6,1,0.288436406,2764565,5800000,Chhattarpur
3,3,Unfurnished,1809,23,1,0.297751023,12271849,28500000,Chhattarpur
2,2,Semi-Furnished,3600,10,1,0.621164642,2220060,4500000,Chhattarpur
4,3,Unfurnished,1305,18,1,0.485124191,2615121,5500000,Chhattarpur
3,4,Semi-Furnished,1800,13,2,0.301480493,19706320,63000000,Chhattarpur
3,2,Semi-Furnished,950,12,2,0.239766882,3487371,6990000,Chhattarpur
2,2,Semi-Furnished,800,11,1,0.691937966,1785498,4400000,Chhattarpur
4,4,Semi-Furnished,1800,6,1,0.674795747,5955874,12500000,Chhattarpur
2,2,Semi-Furnished,800,18,1,0.386725908,1499519,3000000,Chhattarpur
2,2,Semi-Furnished,675,3,1,0.517512645,972850,2800000,Chhattarpur
3,3,Unfurnished,1175,21,3,0.523091803,1463136,5000000,Chhattarpur
3,3,Unfurnished,1500,24,3,0.211718236,1942219,6000000,Chhattarpur
2,2,Unfurnished,810,28,3,0.353907726,1692937,4500000,Chhattarpur
2,2,Unfurnished,630,15,1,0.397837336,1341921,2800000,Chhattarpur
2,2,Semi-Furnished,650,11,1,0.51703194,1226295,2500000,Chhattarpur
4,4,Semi-Furnished,1800,10,1,0.404069366,2256313,8500000,Chhattarpur
2,2,Furnished,725,9,1,0.9607699,1194771,3000000,Chhattarpur
3,2,Semi-Furnished,900,12,1,0.831940167,1830895,4900000,Chhattarpur
2,2,Unfurnished,750,24,1,0.519346541,1127584,3500000,Chhattarpur
2,2,Semi-Furnished,700,15,1,0.578906552,885642,3000000,Chhattarpur
3,2,Semi-Furnished,950,13,1,0.452908751,2475368,7020000,Chhattarpur
3,4,Unfurnished,1600,18,1,0.355171466,30730913,60000000,Chhattarpur
2,2,Semi-Furnished,900,10,1,0.108674843,1220860,3500000,Chhattarpur
3,3,Semi-Furnished,1500,23,1,0.367670157,2802641,7000000,Chhattarpur
2,1,Semi-Furnished,500,20,2,0.330718436,3142600,7000000,Chhattarpur
3,3,Semi-Furnished,1035,6,1,0.324867293,1617634,4500000,Chhattarpur
3,2,Semi-Furnished,825,8,1,1.02814476,3113560,5990000,Chhattarpur
3,3,Semi-Furnished,1300,10,1,0.967718733,2276262,4400000,Chhattarpur
2,2,Unfurnished,765,17,3,0.940702335,824974,2500000,Chhattarpur
1,1,Semi-Furnished,580,24,1,0.622362972,631517,1600000,Chhattarpur
3,3,Semi-Furnished,1750,2,1,0.278856069,2229059,6500000,Chhattarpur
3,3,Semi-Furnished,645,27,1,0.782723797,6774087,20000000,Chittaranjan Park
2,2,Semi-Furnished,1099,25,1,0.782723797,3963428,14500000,Chittaranjan Park
4,5,Semi-Furnished,2250,18,2,0.806170314,20154570,47500000,Chittaranjan Park
3,3,Furnished,3551,10,1,0.738540216,8516796,21500000,Chittaranjan Park
3,3,Unfurnished,1140,1,1,0.633041246,8177002,29500000,Chittaranjan Park
3,3,Unfurnished,2097,23,1,0.536570808,9775074,29000000,Chittaranjan Park
3,3,Semi-Furnished,1250,18,1,0.633041246,12827755,25500000,Chittaranjan Park
3,3,Semi-Furnished,1600,14,2,0.55752354,10946735,33500000,Chittaranjan Park
4,4,Semi-Furnished,2600,15,3,0.633041246,18863280,62500000,Chittaranjan Park
3,3,Semi-Furnished,1700,30,2,0.647976838,18650562,47500000,Chittaranjan Park
3,3,Semi-Furnished,1116,9,1,0.651024229,7694700,14700000,Chittaranjan Park
2,3,Semi-Furnished,1070,16,1,0.782723797,5893659,18000000,Chittaranjan Park
3,3,Semi-Furnished,1200,16,1,0.782723797,9918034,22500000,Chittaranjan Park
3,3,Unfurnished,1200,15,1,0.539020512,10216600,22000000,Chittaranjan Park
3,3,Semi-Furnished,1450,15,1,0.640917947,7340871,22500000,Chittaranjan Park
2,2,Semi-Furnished,1000,20,1,0.782723797,3416889,7500000,Chittaranjan Park
2,1,Unfurnished,945,25,1,0.782723797,2343700,6500000,Chittaranjan Park
3,3,Unfurnished,1650,12,1,0.782723797,15060561,35000000,Chittaranjan Park
4,4,Semi-Furnished,2625,9,2,0.782723797,25837464,60000000,Chittaranjan Park
4,4,Semi-Furnished,1800,12,2,0.647017232,16194184,40000000,Chittaranjan Park
3,3,Semi-Furnished,500,13,2,0.67980407,3305303,11500000,Chittaranjan Park
3,3,Semi-Furnished,1440,25,2,0.332037934,10885835,22500000,Chittaranjan Park
3,4,Semi-Furnished,1900,4,2,0.521432251,9923090,28500000,Chittaranjan Park
3,3,Semi-Furnished,1800,8,2,0.986166703,9070769,29000000,Chittaranjan Park
3,2,Semi-Furnished,1200,9,1,0.986166703,4252655,15500000,Chittaranjan Park
3,3,Semi-Furnished,1200,6,1,0.33068419,6919847,16500000,Chittaranjan Park
4,4,Unfurnished,4118,1,3,0.975065768,24322795,55000000,Chittaranjan Park
3,2,Semi-Furnished,1050,5,3,0.356184573,3349858,12500000,Chittaranjan Park
3,3,Semi-Furnished,875,1,3,0.829209988,6975705,17500000,Chittaranjan Park
2,2,Unfurnished,990,9,1,1.148204761,3718223,11500000,Chittaranjan Park
3,3,Unfurnished,11050,25,1,0.833441605,8023333,18500000,Chittaranjan Park
3,3,Semi-Furnished,1000,9,1,0.835481777,6191633,20000000,Chittaranjan Park
3,3,Unfurnished,1152,24,1,0.221837355,11143951,25000000,Chittaranjan Park
3,3,Semi-Furnished,1400,24,1,0.293275281,8956354,24500000,Chittaranjan Park
3,3,Unfurnished,1440,17,1,0.30301894,13529649,26500000,Chittaranjan Park
3,3,Semi-Furnished,500,3,1,1.488288616,7496715,25000000,Chittaranjan Park
2,2,Unfurnished,500,23,1,0.175678822,5656422,16000000,Chittaranjan Park
2,2,Semi-Furnished,2355,9,1,0.197617387,3815881,13000000,Chittaranjan Park
4,4,Furnished,1917,2,2,0.074325684,16489844,32500000,Chittaranjan Park
3,3,Unfurnished,1400,2,1,0.869808238,7918344,16000000,Chittaranjan Park
3,3,Semi-Furnished,1600,15,1,0.862100008,6466461,19500000,Chittaranjan Park
3,3,Furnished,1800,6,1,0.755709242,11377552,26000000,Chittaranjan Park
3,3,Semi-Furnished,1200,17,1,0.015030396,10634880,22200000,Chittaranjan Park
4,4,Furnished,2430,27,3,0.021138105,12299269,30000000,Chittaranjan Park
3,3,Unfurnished,1400,24,1,0.349349616,9879385,24500000,Chittaranjan Park
3,3,Semi-Furnished,500,14,1,0.333953074,12440136,38000000,Chittaranjan Park
3,3,Unfurnished,1200,2,1,0.476788023,6483583,22500000,Chittaranjan Park
3,3,Unfurnished,1150,6,1,0.828821288,14754019,29500000,Chittaranjan Park
3,3,Semi-Furnished,500,9,1,0.831500962,15029412,30000000,Chittaranjan Park
3,4,Semi-Furnished,500,3,2,0.352746542,17220460,40000000,Chittaranjan Park
3,3,Unfurnished,500,16,1,0.807815921,7942264,22500000,Chittaranjan Park
3,3,Unfurnished,1250,11,1,0.54538319,9247500,26000000,Chittaranjan Park
5,3,Furnished,500,28,1,0.503932525,15924627,35000000,Chittaranjan Park
1,1,Unfurnished,500,12,1,1.227052463,1650357,3300000,Dilshad Garden
2,1,Unfurnished,750,6,1,1.020230283,3656374,7350000,Dilshad Garden
4,1,Unfurnished,1500,23,1,1.063972402,5865043,12500000,Dilshad Garden
1,1,Semi-Furnished,500,5,1,1.633434493,1515029,3500000,Dilshad Garden
2,2,Unfurnished,650,8,1,1.002460386,1857677,6500000,Dilshad Garden
2,2,Furnished,900,8,2,0.186018228,2112944,6900000,Dilshad Garden
1,1,Unfurnished,500,7,1,0.788444265,1801760,3600000,Dilshad Garden
3,2,Semi-Furnished,900,3,2,0.13358197,5716983,13500000,Dilshad Garden
3,2,Furnished,1000,29,1,1.514989082,2447571,9200000,Dilshad Garden
1,1,Unfurnished,500,28,1,0.415359046,725913,2500000,Dilshad Garden
3,2,Furnished,1700,8,1,0.511600032,7454933,17000000,Dilshad Garden
3,2,Semi-Furnished,800,6,1,0.744003207,2392500,9030000,Dilshad Garden
3,2,Unfurnished,1076,21,1,1.287530557,2845869,9300000,Dilshad Garden
2,1,Semi-Furnished,750,12,2,0.01507325,2653760,6500000,Dilshad Garden
2,1,Unfurnished,500,16,2,0.613136362,1471834,3300000,Dilshad Garden
1,1,Unfurnished,500,13,2,0.920423466,1045159,2400000,Dilshad Garden
3,3,Semi-Furnished,1800,21,1,0.403455487,4841052,15000000,Dilshad Garden
3,1,Unfurnished,1080,30,1,0.420283185,3159503,7000000,Dilshad Garden
1,1,Unfurnished,500,24,1,0.647578277,1369865,4200000,Dilshad Garden
2,1,Furnished,500,4,1,0.889623293,2026499,5800000,Dilshad Garden
3,2,Semi-Furnished,900,17,1,1.08603813,2209933,4800000,Dilshad Garden
2,2,Semi-Furnished,800,26,1,1.031995926,3261520,7500000,Dilshad Garden
1,1,Unfurnished,500,1,1,1.447170398,1462454,3000000,Dilshad Garden
1,1,Unfurnished,500,8,1,0.707765042,1878984,4300000,Dilshad Garden
1,1,Semi-Furnished,500,27,1,0.519485516,1074920,2600000,Dilshad Garden
2,2,Unfurnished,1450,18,1,0.523818313,2018170,7000000,Dilshad Garden
2,2,Unfurnished,800,13,1,0.605626828,2163309,6000000,Dilshad Garden
2,2,Semi-Furnished,1000,27,1,0.3506989,2234633,6700000,Dilshad Garden
3,3,Furnished,1000,3,1,1.871722464,3115386,9500000,Dilshad Garden
3,2,Semi-Furnished,1600,2,1,1.267437319,8841988,17000000,Dilshad Garden
3,2,Furnished,1400,27,1,0.656523522,5508640,15000000,Dwaraka Sub City
3,2,Semi-Furnished,1550,1,1,0.354373333,7880622,15800000,Dwaraka Sub City
4,3,Furnished,2000,1,1,1.403852606,13544813,31500000,Dwaraka Sub City
3,3,Semi-Furnished,1500,11,1,1.474329426,6623971,14000000,Dwaraka Sub City
3,2,Semi-Furnished,1550,29,1,1.476277486,5228771,13200000,Dwaraka Sub City
3,2,Semi-Furnished,1600,4,1,1.458290204,6568011,15800000,Dwaraka Sub City
3,3,Unfurnished,1600,5,1,1.498433146,6373912,16200000,Dwaraka Sub City
3,2,Semi-Furnished,1800,24,1,1.469049844,4883818,15500000,Dwaraka Sub City
3,2,Semi-Furnished,1470,4,1,1.438500768,6583953,14500000,Dwaraka Sub City
3,2,Semi-Furnished,1500,30,1,1.436648959,5030716,14900000,Dwaraka Sub City
3,3,Furnished,1750,19,1,0.213451033,4644446,17200000,Dwaraka Sub City
3,3,Furnished,1650,25,1,0.745266651,7807907,18000000,Dwaraka Sub City
3,2,Semi-Furnished,1850,1,1,0.656523522,4809728,15500000,Dwaraka Sub City
3,2,Furnished,1480,8,1,0.656523522,8082264,15800000,Dwaraka Sub City
2,2,Furnished,1214,20,1,0.656523522,6490091,12600000,Dwaraka Sub City
3,2,Semi-Furnished,1380,9,1,0.656523522,7571830,15000000,Dwaraka Sub City
4,2,Furnished,1600,28,1,0.554906141,7043314,19500000,Dwaraka Sub City
3,3,Semi-Furnished,1585,6,1,0.558740386,4443662,16600000,Dwaraka Sub City
3,3,Semi-Furnished,1700,22,1,0.541751589,8743369,17200000,Dwaraka Sub City
2,2,Semi-Furnished,1200,14,1,0.552072506,4894396,13000000,Dwaraka Sub City
4,3,Semi-Furnished,1800,16,1,0.557556506,8554284,16500000,Dwaraka Sub City
2,2,Semi-Furnished,1000,16,1,0.557517505,5538763,10700000,Dwaraka Sub City
3,2,Furnished,1500,24,1,0.875646595,7913420,16200000,Dwaraka Sub City
3,2,Furnished,1700,3,1,0.847977117,5630415,16500000,Dwaraka Sub City
3,2,Furnished,1750,24,1,0.804313016,5440493,14900000,Dwaraka Sub City
4,3,Furnished,2700,27,1,0.796299398,13419699,27500000,Dwaraka Sub City
3,3,Semi-Furnished,2050,11,1,1.36769525,7290393,21000000,Dwaraka Sub City
2,2,Semi-Furnished,500,30,1,1.470748506,2312226,7500000,Dwaraka Sub City
2,2,Unfurnished,500,7,1,0.546868527,3898776,9500000,Dwaraka Sub City
2,1,Semi-Furnished,665,14,1,1.458702289,1531203,3000000,Dwaraka Sub City
3,2,Semi-Furnished,1050,24,1,0.821972443,5812305,13000000,Dwaraka Sub City
3,2,Unfurnished,500,22,1,0.530895644,2814472,6800000,Dwaraka Sub City
2,1,Unfurnished,800,13,1,0.550967224,940007,3250000,Dwaraka Sub City
2,2,Unfurnished,1100,14,1,1.113025228,3959396,9300000,Dwaraka Sub City
5,2,Furnished,1460,3,1,1.101780917,9180672,17500000,Dwaraka Sub City
3,3,Semi-Furnished,1700,22,1,0.817236146,6010885,20000000,Dwaraka Sub City
3,3,Semi-Furnished,1750,15,1,0.79419016,8405372,21000000,Dwaraka Sub City
3,3,Semi-Furnished,1600,2,1,0.79419016,9353711,18900000,Dwaraka Sub City
3,2,Semi-Furnished,1500,5,1,1.470705949,7342308,16000000,Dwaraka Sub City
3,2,Semi-Furnished,1150,18,1,0.842785651,10065607,22500000,Dwaraka Sub City
2,2,Furnished,1000,11,1,0.539036517,4712419,10500000,Dwaraka Sub City
2,2,Furnished,800,6,1,0.812556525,2867067,8000000,Dwaraka Sub City
2,2,Unfurnished,800,4,1,0.324004478,3410113,10000000,Dwaraka Sub City
3,3,Unfurnished,1700,23,1,0.585645481,10970456,23000000,Dwaraka Sub City
3,2,Semi-Furnished,1600,1,1,1.600081831,7968816,16700000,Dwaraka Sub City
2,1,Semi-Furnished,900,28,1,0.591877459,6004717,12200000,Dwaraka Sub City
2,2,Semi-Furnished,850,21,1,0.831368637,5295786,10500000,Dwaraka Sub City
3,3,Semi-Furnished,1850,9,1,0.833604889,8964312,22500000,Dwaraka Sub City
3,3,Furnished,1500,7,1,0.824422825,9499765,24000000,Dwaraka Sub City
2,2,Semi-Furnished,1200,16,1,1.547000042,6162769,13000000,Dwaraka Sub City
3,3,Unfurnished,1680,28,1,1.540111765,9569047,22000000,Dwaraka Sub City
3,3,Semi-Furnished,1570,23,1,0.821972443,7851646,17500000,Dwaraka Sub City
2,2,Semi-Furnished,1200,5,1,0.586347164,7100992,15000000,Dwaraka Sub City
3,3,Semi-Furnished,1650,5,1,0.545738038,8719120,17500000,Dwaraka Sub City
3,2,Semi-Furnished,1500,1,1,0.546987253,6525260,18500000,Dwaraka Sub City
3,2,Semi-Furnished,1500,19,1,0.551124939,6309684,17400000,Dwaraka Sub City
3,2,Furnished,1120,15,1,0.811338132,3028105,10500000,Dwaraka Sub City
2,2,Unfurnished,500,5,1,0.561517775,3120448,7500000,Dwaraka Sub City
5,2,Semi-Furnished,500,13,1,0.574525529,873890,3200000,Dwaraka Sub City
5,2,Unfurnished,550,25,1,1.470748506,753392,1950000,Dwaraka Sub City
3,2,Semi-Furnished,500,27,1,1.587380013,2114661,5200000,Dwaraka Sub City
4,3,Unfurnished,1949,26,1,0.810518657,7800512,23000000,Dwaraka Sub City
1,1,Semi-Furnished,500,16,1,0.812556525,1090359,2600000,Dwaraka Sub City
3,3,Semi-Furnished,500,15,1,0.826886918,1765765,6500000,Dwaraka Sub City
3,3,Unfurnished,1749,21,1,0.826886918,3554999,13000000,Dwaraka Sub City
2,2,Semi-Furnished,500,22,2,1.385210446,1489446,3100000,Dwaraka Sub City
2,2,Semi-Furnished,846,13,1,3.048593197,3944246,11000000,East Of Kailash
3,3,Furnished,1799,1,1,3.048593197,14112775,47500000,East Of Kailash
4,5,Unfurnished,2000,29,1,0.730298757,24077251,60000000,East Of Kailash
3,3,Semi-Furnished,6074,21,1,0.696605037,16797543,36000000,East Of Kailash
3,3,Semi-Furnished,1400,12,1,0.77172737,7051214,22000000,East Of Kailash
2,2,Semi-Furnished,900,19,1,0.555874987,3636467,8500000,East Of Kailash
3,2,Unfurnished,1600,16,1,0.916665571,7152871,25000000,East Of Kailash
2,2,Semi-Furnished,750,14,1,1.187107337,1885232,6800000,East Of Kailash
2,2,Furnished,900,11,1,0.711805109,3027670,7500000,East Of Kailash
2,2,Semi-Furnished,1196,15,1,2.034690097,4264427,10500000,East Of Kailash
2,2,Unfurnished,1250,25,1,0.789991966,9712182,22500000,East Of Kailash
3,3,Unfurnished,1500,6,2,0.44496198,22296230,49000000,East Of Kailash
3,2,Semi-Furnished,1250,17,1,3.048593197,14323815,27500000,East Of Kailash
5,5,Semi-Furnished,2699,5,1,0.366363278,3997208,10000000,Faridabad
2,2,Semi-Furnished,1006,13,1,0.694325925,1070669,3070000,Faridabad
3,3,Unfurnished,4748,23,1,0.680104803,8754933,18500000,Faridabad
3,3,Unfurnished,500,11,1,0.201405165,2981603,8900000,Faridabad
2,2,Furnished,4535,30,1,0.567704245,4779630,12600000,Faridabad
2,1,Semi-Furnished,750,2,1,0.642991939,625456,2200000,Faridabad
2,2,Furnished,1045,26,1,0.642991939,1081195,4000000,Faridabad
2,2,Furnished,1045,22,1,1.101770561,1810848,3500000,Faridabad
2,2,Furnished,1265,9,1,0.703640688,1839175,3800000,Faridabad
2,2,Semi-Furnished,1265,11,1,0.198044949,1743634,3900000,Faridabad
2,2,Furnished,1050,19,1,1.496371616,1411405,3800000,Faridabad
2,2,Furnished,1265,29,1,0.448448264,1438240,4650000,Faridabad
3,2,Furnished,1264,27,1,0.201405165,1158449,3800000,Faridabad
3,2,Furnished,1525,25,1,0.383565545,1977503,6000000,Faridabad
2,2,Semi-Furnished,1265,8,1,0.689575411,2042003,5000000,Faridabad
2,2,Semi-Furnished,1265,13,1,0.744245184,2033976,4500000,Faridabad
2,2,Semi-Furnished,1045,8,1,0.687415618,1750617,4000000,Faridabad
2,2,Furnished,1265,25,1,0.402563323,1518349,4500000,Faridabad
3,2,Furnished,1045,19,2,0.383565545,1752134,3400000,Faridabad
3,3,Furnished,2250,4,1,0.713577059,3665098,8000000,Faridabad
3,2,Furnished,1200,28,1,0.714530446,1557059,3800000,Faridabad
3,3,Furnished,2250,26,1,0.577490112,3314026,7800000,Faridabad
2,2,Furnished,1487,10,1,0.714530446,1609185,4300000,Faridabad
3,3,Furnished,1646,25,1,0.727324675,1809069,5500000,Faridabad
2,2,Semi-Furnished,1248,28,1,0.56749197,1608551,4500000,Faridabad
3,2,Furnished,1526,10,1,0.559664729,2595018,5600000,Faridabad
3,3,Semi-Furnished,1554,8,1,0.869621644,1657943,6200000,Faridabad
2,2,Furnished,1165,7,1,0.714530446,1235700,4200000,Faridabad
2,2,Furnished,610,2,1,0.691237653,689357,2500000,Faridabad
2,2,Furnished,1248,4,1,0.61076497,1160511,4230000,Faridabad
3,2,Unfurnished,1290,22,1,0.652324255,1711951,3500000,Faridabad
2,2,Unfurnished,1200,11,1,0.676744913,1841356,4100000,Faridabad
2,2,Furnished,1210,28,1,0.69060186,1787632,4600000,Faridabad
2,2,Furnished,850,8,1,0.832431399,1041863,3600000,Faridabad
